symbol,company_name,cik,filer_name,match_method,first_period,last_period,quarters_present,quarters_expected,gaps,continuous,calls_split,calls_unsplit,calls_low_confidence
AXP,American Express Company,4962,AMERICAN EXPRESS CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,67,4,1
AYI,,,,,2016Q1,2018Q4,12,12,0,,12,0,0
AZO,"AutoZone, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,75,1,2
BA,The Boeing Company,12927,BOEING CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,72,3,1
BAC,Bank of America Corporation,70858,BANK OF AMERICA CORP /DE/,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,63,4,3
BALL,Ball Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,0,1
BAX,Baxter International Inc.,,,,2012Q1,2024Q4,52,52,0,yes,71,0,0
BBBY,,,,,2012Q1,2017Q4,23,24,1,,8,34,0
BBWI,,,,,2012Q1,2024Q4,49,52,3,,60,2,8
BBY,"Best Buy Co., Inc.",764478,BEST BUY CO INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,5,0
BC,,,,,,,0,52,52,,5,1,0
BDX,"Becton, Dickinson and Company",,,,2012Q1,2024Q4,52,52,0,yes,71,1,0
BEAM,,,,,2012Q1,2013Q3,7,7,0,,25,0,0
BEN,"Franklin Resources, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,58,9,3
BF.B,Brown-Forman Corporation,,,,2012Q1,2024Q4,52,52,0,yes,64,2,0
BG,Bunge Global SA,,,,2012Q1,2024Q4,52,52,0,yes,62,2,1
BHF,,,,,2017Q3,2019Q4,10,10,0,,10,0,0
BIG,,,,,2012Q1,2013Q4,8,8,0,,19,2,0
BIIB,Biogen Inc.,,,,2012Q1,2024Q4,52,52,0,yes,72,6,0
BIO,,,,,2012Q1,2024Q4,52,52,0,yes,61,2,0
BK,The Bank of New York Mellon Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,1,1
BKNG,Booking Holdings Inc.,,,,2012Q1,2024Q4,52,52,0,yes,75,1,0
BKR,Baker Hughes Company,1701605,Baker Hughes Co,edgar_ticker,2012Q1,2024Q4,46,52,6,,66,0,0
BLDR,"Builders FirstSource, Inc.",,,,2012Q1,2024Q4,40,52,12,,40,6,3
BLK,"BlackRock, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,57,0,0
BMY,Bristol-Myers Squibb Company,14272,BRISTOL MYERS SQUIBB CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,68,2,2
BR,"Broadridge Financial Solutions, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,62,4,0
BRO,"Brown & Brown, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,63,2,0
BSX,Boston Scientific Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,1,2
BTU,,,,,2012Q1,2014Q4,12,12,0,,25,3,0
BWA,,,,,2012Q1,2024Q4,52,52,0,yes,63,1,0
BX,Blackstone Inc.,,,,2012Q1,2024Q4,52,52,0,yes,47,16,2
BXP,"BXP, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,65,3,0
C,Citigroup Inc.,831001,CITIGROUP INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,3,0
CAG,"Conagra Brands, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,64,3,3
CAH,"Cardinal Health, Inc.",721371,CARDINAL HEALTH INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,69,2,1
CAR,,,,,,,0,52,52,,1,1,0
CARR,Carrier Global Corporation,,,,2020Q1,2024Q4,20,20,0,,21,0,0
CAT,Caterpillar Inc.,18230,CATERPILLAR INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,73,0,0
CB,Chubb Limited,,,,2012Q1,2024Q4,51,52,1,,70,0,0
CBH,,,,,,,0,52,52,,2,0,0
CBOE,"Cboe Global Markets, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,55,1,0
CBRE,"CBRE Group, Inc.",1138118,"CBRE GROUP, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,4,0
CCI,Crown Castle Inc.,,,,2012Q1,2024Q4,52,52,0,yes,71,0,0
CCL,Carnival Corporation & plc,,,,2012Q1,2024Q4,50,52,2,,63,1,3
CDNS,"Cadence Design Systems, Inc.",,,,2017Q1,2024Q4,32,32,0,,33,0,0
CDW,CDW Corporation,,,,2019Q1,2024Q4,24,24,0,,24,1,0
CE,,,,,2012Q1,2024Q4,52,52,0,yes,41,0,20
CEG,Constellation Energy Corporation,,,,2022Q1,2024Q3,11,11,0,,11,1,0
CERN,,,,,2012Q1,2021Q3,39,39,0,,47,0,0
CF,"CF Industries Holdings, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,65,0,0
CFG,"Citizens Financial Group, Inc.",,,,2016Q1,2024Q4,36,36,0,,34,3,0
CHD,"Church & Dwight Co., Inc.",,,,2015Q1,2024Q3,39,39,0,,35,6,0
CHIR,,,,,,,0,52,52,,0,1,1
CHRW,"C.H. Robinson Worldwide, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,1,0
CHTR,"Charter Communications, Inc.",1091667,"CHARTER COMMUNICATIONS, INC. /MO/",edgar_ticker,2016Q1,2024Q4,36,36,0,,37,0,0
CI,The Cigna Group,1739940,Cigna Group,edgar_ticker,2012Q1,2024Q4,48,52,4,,65,1,1
CIEN,,,,,,,0,52,52,,12,0,4
CINF,Cincinnati Financial Corporation,,,,2012Q1,2024Q4,52,52,0,yes,66,0,0
CIT,,,,,,,0,52,52,,7,0,0
CL,Colgate-Palmolive Company,,,,2012Q1,2024Q4,52,52,0,yes,71,6,0
CLF,,,,,2012Q1,2014Q4,12,12,0,,26,1,0
CLX,The Clorox Company,,,,2012Q1,2024Q4,52,52,0,yes,67,2,3
CMA,,,,,2012Q1,2024Q4,52,52,0,yes,68,2,0
CMCSA,Comcast Corporation,1166691,COMCAST CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,73,4,0
CME,CME Group Inc.,,,,2012Q1,2024Q4,52,52,0,yes,70,1,1
CMG,"Chipotle Mexican Grill, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,51,6,0
CMI,Cummins Inc.,26172,CUMMINS INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,66,2,2
CMS,CMS Energy Corporation,,,,2012Q1,2024Q4,51,52,1,,60,1,0
CNC,Centene Corporation,1071739,CENTENE CORP,edgar_ticker,2016Q1,2024Q4,36,36,0,,36,1,0
CNP,"CenterPoint Energy, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,68,1,0
CNX,,,,,2012Q1,2016Q4,19,20,1,,32,3,0
COF,Capital One Financial Corporation,927628,CAPITAL ONE FINANCIAL CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,5,0
COO,"The Cooper Companies, Inc.",,,,2016Q1,2024Q4,36,36,0,,37,0,0
COOP,,,,,,,0,52,52,,4,1,0
COP,ConocoPhillips,1163165,CONOCOPHILLIPS,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,5,1
COR,"Cencora, Inc.",1140859,"Cencora, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,52,1,1
COST,Costco Wholesale Corporation,909832,COSTCO WHOLESALE CORP /NEW,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,74,3,0
COTY,,,,,2016Q1,2020Q4,20,20,0,,20,0,0
CPAY,"Corpay, Inc.",,,,2018Q1,2024Q4,27,28,1,,24,1,3
CPB,The Campbell's Company,,,,2012Q1,2024Q4,51,52,1,,68,0,0
CPRI,,,,,2013Q1,2020Q4,31,32,1,,29,2,0
CPRT,"Copart, Inc.",,,,2018Q1,2024Q4,28,28,0,,30,0,0
CPT,Camden Property Trust,,,,2020Q1,2024Q4,20,20,0,,20,1,0
CRL,"Charles River Laboratories International, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
CRM,"Salesforce, Inc.",1108524,"Salesforce, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,65,3,1
CRWD,"CrowdStrike Holdings, Inc.",,,,2020Q1,2024Q4,20,20,0,,24,0,0
CSCO,"Cisco Systems, Inc.",858877,"CISCO SYSTEMS, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,64,12,1
CSGP,"CoStar Group, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
CSX,CSX Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,2,0
CTAS,Cintas Corporation,,,,2012Q1,2024Q4,52,52,0,yes,70,2,1
CTLT,,,,,2020Q1,2024Q1,17,17,0,,16,0,1
CTRA,Coterra Energy Inc.,,,,2012Q1,2024Q4,52,52,0,yes,67,2,0
CTSH,Cognizant Technology Solutions Corporation,,,,2012Q1,2024Q4,52,52,0,yes,74,3,0
CTVA,"Corteva, Inc.",,,,2019Q2,2024Q4,23,23,0,,22,2,0
CVS,CVS Health Corporation,64803,CVS HEALTH Corp,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,1,2
CVX,Chevron Corporation,93410,CHEVRON CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,72,0,1
CXO,,,,,2016Q1,2020Q2,18,18,0,,18,0,0
CZR,"Caesars Entertainment, Inc.",,,,2020Q1,2024Q4,20,20,0,,20,1,0
D,"Dominion Energy, Inc.",,,,2012Q1,2024Q4,50,52,2,,72,1,2
DAL,"Delta Air Lines, Inc.",27904,"DELTA AIR LINES, INC.",edgar_ticker,2013Q1,2024Q4,48,48,0,,42,6,1
DASH,"DoorDash, Inc.",,,,2020Q4,2024Q4,17,17,0,,8,0,10
DAY,Dayforce Inc.,,,,2020Q1,2024Q4,20,20,0,,14,2,5
DD,"DuPont de Nemours, Inc.",,,,2019Q1,2024Q4,24,24,0,,24,1,0
DE,Deere & Company,315189,DEERE & CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,1,1
DECK,Deckers Outdoor Corporation,,,,2020Q1,2024Q4,20,20,0,,23,0,0
DELL,Dell Technologies Inc.,1571996,Dell Technologies Inc.,edgar_ticker,2012Q1,2024Q4,28,52,24,,50,7,0
DFS,Discover Financial Services,,,,2012Q1,2024Q4,52,52,0,yes,57,8,2
DG,Dollar General Corporation,29534,DOLLAR GENERAL CORP,edgar_ticker,2012Q1,2024Q4,50,52,2,,48,0,2
DGX,Quest Diagnostics Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,69,3,0
DHI,"D.R. Horton, Inc.",882184,HORTON D R INC /DE/,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,0,0
DHR,Danaher Corporation,,,,2012Q1,2024Q4,52,52,0,yes,58,12,1
DIS,The Walt Disney Company,1744489,Walt Disney Co,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,69,7,0
DISCK,,,,,2014Q1,2022Q4,36,36,0,,36,0,0
DISH,,,,,2017Q1,2023Q3,23,27,4,,21,0,2
DLR,"Digital Realty Trust, Inc.",,,,2016Q1,2024Q4,36,36,0,,37,0,0
DLTR,"Dollar Tree, Inc.",,,,2012Q1,2024Q4,48,52,4,,38,8,5
DNB,,,,,2012Q1,2017Q4,23,24,1,,39,0,0
DO,,,,,2012Q1,2016Q4,20,20,0,,32,0,0
DOC,"Healthpeak Properties, Inc.",,,,2020Q1,2024Q4,19,20,1,,19,0,1
DOV,Dover Corporation,,,,2012Q1,2024Q4,52,52,0,yes,67,2,0
DOW,Dow Inc.,1751788,DOW INC.,edgar_ticker,2012Q1,2024Q4,46,52,6,,62,2,2
DPZ,"Domino's Pizza, Inc.",,,,2020Q1,2024Q4,20,20,0,,20,1,0
DRE,,,,,2017Q1,2022Q1,20,21,1,,20,0,0
DRI,"Darden Restaurants, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,74,2,0
DTE,DTE Energy Company,,,,2012Q1,2024Q4,52,52,0,yes,66,2,1
DUK,Duke Energy Corporation,,,,2012Q1,2024Q4,52,52,0,yes,59,9,4
DVA,DaVita Inc.,,,,2012Q1,2024Q4,51,52,1,,54,14,0
DVN,Devon Energy Corporation,,,,2012Q1,2024Q4,52,52,0,yes,69,1,2
DXC,,,,,2017Q1,2023Q4,28,28,0,,27,1,0
DXCM,"DexCom, Inc.",,,,2020Q1,2024Q4,20,20,0,,20,0,1
DYN,,,,,,,0,52,52,,8,1,1
EA,Electronic Arts Inc.,,,,2012Q1,2024Q4,52,52,0,yes,77,2,0
EBAY,eBay Inc.,,,,2012Q1,2024Q4,52,52,0,yes,68,9,0
ECL,Ecolab Inc.,,,,2012Q1,2024Q4,52,52,0,yes,70,1,0
EFX,Equifax Inc.,,,,2012Q1,2024Q4,52,52,0,yes,58,11,2
EG,"Everest Group, Ltd.",,,,2017Q1,2024Q4,32,32,0,,33,0,0
EIX,Edison International,,,,2012Q1,2024Q4,52,52,0,yes,64,4,0
EL,The Estée Lauder Companies Inc.,,,,2012Q1,2024Q4,52,52,0,yes,77,1,0
ELV,"Elevance Health, Inc.",1156039,"Elevance Health, Inc.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,0,0
EMN,Eastman Chemical Company,,,,2012Q1,2024Q4,52,52,0,yes,46,8,15
EMR,Emerson Electric Co.,,,,2012Q1,2024Q4,52,52,0,yes,69,0,1
ENDP,,,,,2015Q1,2017Q4,12,12,0,,12,0,0
ENPH,"Enphase Energy, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
EOG,"EOG Resources, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,65,6,1
EPAM,"EPAM Systems, Inc.",,,,2020Q1,2024Q4,20,20,0,,21,0,0
EQ,,,,,,,0,52,52,,7,0,0
EQIX,"Equinix, Inc.",,,,2015Q1,2024Q4,40,40,0,,40,0,1
EQR,Equity Residential,,,,2012Q1,2024Q4,52,52,0,yes,61,5,2
EQT,EQT Corporation,,,,2023Q3,2024Q4,6,6,0,,7,0,0
ERIE,Erie Indemnity Company,,,,2020Q1,2024Q4,20,20,0,,0,21,0
ES,Eversource Energy,,,,2012Q1,2024Q4,51,52,1,,56,1,2
ESS,"Essex Property Trust, Inc.",,,,2014Q1,2024Q4,44,44,0,,43,2,0
ETFC,,,,,2012Q1,2019Q4,32,32,0,,56,0,1
ETN,Eaton Corporation plc,,,,2012Q1,2024Q4,52,52,0,yes,66,5,1
ETR,Entergy Corporation,,,,2012Q1,2024Q4,52,52,0,yes,67,8,0
ETSY,,,,,2020Q1,2024Q4,20,20,0,,7,12,1
EVRG,"Evergy, Inc.",,,,2018Q2,2024Q4,27,27,0,,28,0,0
EW,Edwards Lifesciences Corporation,,,,2012Q1,2024Q4,52,52,0,yes,56,0,0
EXC,Exelon Corporation,,,,2012Q2,2024Q4,49,51,2,,69,5,1
EXE,Expand Energy Corporation,,,,2023Q4,2024Q4,5,5,0,,6,0,0
EXPE,"Expedia Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,67,6,0
EXR,Extra Space Storage Inc.,,,,2016Q1,2024Q4,36,36,0,,37,0,0
F,Ford Motor Company,37996,FORD MOTOR CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,71,3,1
FANG,"Diamondback Energy, Inc.",,,,2018Q1,2024Q4,28,28,0,,24,0,5
FAST,Fastenal Company,,,,2012Q1,2024Q4,52,52,0,yes,69,0,0
FBIN,,,,,2016Q1,2022Q4,28,28,0,,28,0,0
FCX,Freeport-McMoRan Inc.,,,,2012Q1,2024Q4,52,52,0,yes,65,0,0
FDS,FactSet Research Systems Inc.,,,,2020Q1,2024Q4,20,20,0,,22,0,0
FDX,FedEx Corporation,1048911,FEDEX CORP,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,52,16,2
FE,FirstEnergy Corp.,,,,2012Q1,2024Q4,52,52,0,yes,73,2,0
FFIV,"F5, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,57,0,0
FHI,,,,,2012Q1,2013Q4,8,8,0,,26,0,0
FHN,,,,,2012Q1,2013Q4,8,8,0,,25,0,0
FI,"Fiserv, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,53,0,0
FICO,Fair Isaac Corporation,,,,2020Q1,2024Q4,20,20,0,,21,1,0
FIS,"Fidelity National Information Services, Inc.",,,,2012Q1,2024Q4,51,52,1,,64,7,0
FITB,Fifth Third Bancorp,,,,2012Q1,2024Q4,52,52,0,yes,69,0,2
FL,,,,,2016Q1,2019Q4,16,16,0,,15,0,1
FLIR,,,,,2012Q1,2020Q3,35,35,0,,50,0,0
FLR,,,,,2012Q1,2019Q4,32,32,0,,46,3,0
FLS,,,,,2012Q1,2021Q4,40,40,0,,55,1,0
FMC,,,,,2012Q1,2024Q4,50,52,2,,59,3,1
FMCC,,,,,,,0,52,52,,6,1,0
FNMA,,,,,,,0,52,52,,1,1,0
FOSL,,,,,2012Q1,2016Q4,20,20,0,,20,0,0
FOXA,Fox Corporation,,,,2019Q4,2024Q3,20,20,0,,13,9,1
FRC,,,,,2012Q1,2023Q1,45,45,0,,45,3,0
FRT,Federal Realty Investment Trust,,,,2016Q1,2024Q4,36,36,0,,37,0,0
FSLR,"First Solar, Inc.",,,,2012Q1,2024Q4,44,52,8,,52,3,2
FTI,,,,,2012Q1,2021Q4,38,40,2,,45,2,0
FTNT,"Fortinet, Inc.",,,,2018Q1,2024Q4,28,28,0,,29,0,0
FTV,Fortive Corporation,,,,2016Q2,2024Q4,35,35,0,,33,0,3
GD,General Dynamics Corporation,40533,GENERAL DYNAMICS CORP,edgar_ticker,2012Q1,2024Q3,51,51,0,,67,3,0
GDDY,GoDaddy Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
GE,General Electric Company,40545,GENERAL ELECTRIC CO,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,67,8,1
GEHC,GE HealthCare Technologies Inc.,,,,2022Q4,2024Q4,9,9,0,,9,1,0
GEN,Gen Digital Inc.,,,,2012Q1,2024Q4,50,52,2,,63,2,1
GEV,GE Vernova Inc.,1996810,GE Vernova Inc.,edgar_ticker,2024Q1,2024Q4,4,4,0,,5,0,0
GILD,"Gilead Sciences, Inc.",882095,"GILEAD SCIENCES, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,75,2,0
GIS,"General Mills, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,53,3,15
GL,Globe Life Inc.,,,,2012Q1,2024Q4,52,52,0,yes,69,0,0
GLW,Corning Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,73,4,1
GM,General Motors Company,1467858,General Motors Co,edgar_ticker,2013Q1,2024Q4,48,48,0,,58,1,0
GME,,,,,2012Q1,2016Q4,20,20,0,,34,6,0
GNRC,Generac Holdings Inc.,,,,2020Q1,2024Q4,20,20,0,,21,0,0
GNW,,,,,2012Q1,2015Q4,16,16,0,,30,1,2
GOOG,,,,,2014Q1,2024Q4,44,44,0,,43,2,0
GOOGL,Alphabet Inc.,1652044,Alphabet Inc.,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,73,3,1
GPC,Genuine Parts Company,,,,2012Q1,2024Q4,52,52,0,yes,66,2,2
GPN,Global Payments Inc.,,,,2016Q1,2024Q4,36,36,0,,37,0,0
GRMN,Garmin Ltd.,,,,2012Q1,2024Q4,52,52,0,yes,48,4,1
GS,"The Goldman Sachs Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,71,3,0
GT,,,,,2012Q1,2019Q4,32,32,0,,47,2,0
GWW,"W.W. Grainger, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,34,28,0
HAL,Halliburton Company,,,,2012Q1,2024Q4,52,52,0,yes,77,1,0
HAS,"Hasbro, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,71,1,0
HBAN,Huntington Bancshares Incorporated,,,,2012Q1,2024Q4,52,52,0,yes,67,2,0
HBI,,,,,2015Q1,2021Q4,26,28,2,,26,0,0
HCA,"HCA Healthcare, Inc.",860730,"HCA Healthcare, Inc.",edgar_ticker,2015Q1,2024Q4,40,40,0,,32,8,1
HD,"The Home Depot, Inc.",354950,"HOME DEPOT, INC.",edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,3,0
HES,Hess Corporation,,,,2012Q1,2023Q2,46,46,0,,58,0,0
HFC,,,,,2018Q1,2021Q4,15,16,1,,14,1,0
HIG,"The Hartford Insurance Group, Inc.",,,,2012Q1,2024Q4,52,52,0,yes,70,0,0
HII,"Huntington Ingalls Industries, Inc.",,,,2018Q1,2024Q4,28,28,0,,29,0,0
HLT,Hilton Worldwide Holdings Inc.,,,,2017Q1,2024Q4,32,32,0,,35,0,0
HOG,,,,,2012Q1,2020Q4,36,36,0,,52,0,0
HOLX,"Hologic, Inc.",,,,2016Q1,2024Q4,36,36,0,,38,0,0
HON,Honeywell International Inc.,773840,HONEYWELL INTERNATIONAL INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,70,1,1
HP,,,,,2012Q1,2020Q4,36,36,0,,46,0,2
HPE,Hewlett Packard Enterprise Company,1645590,Hewlett Packard Enterprise Co,edgar_ticker,2016Q1,2024Q4,36,36,0,,37,0,0
HPQ,HP Inc.,47217,HP INC,edgar_ticker,2012Q1,2024Q4,52,52,0,yes,62,1,1
HRB,,,,,2012Q1,2020Q4,35,36,1,,42,5,0
HRL,Hormel Foods Corporation,,,,2012Q1,2024Q4,52,52,0,yes,61,3,0
